route_short_name,route_long_name,trips_count
A,Keskusta - Värttö,1214
7,Puolivälinkangas - Saarela,1097
9,Lentoasema - Heikinharju,966
20B,Martinniemi - OYS,952
C,Keskusta - Limingantulli,927
15,Nallikari - Mäntylä,906
D,Keskusta - Limingantulli,890
B,Keskusta - Medipolis,741
51,Kempele - Oulu,722
35BK,Kiiminki - Jääli - Oulu,716
2,Ritaharju - Metsokangas,604
4A,Herukka - Heikkilänkangas,593
3,Aaltokangas - Metsokangas,584
4,Herukka - Iinatti,583
1,Jylkynkangas - Metelinkangas,576
10,Heikinharju - Koskela,561
11,Keskusta - Kivikkokangas,509
50,Haapamaa - Oulu,505
21,Kellon Kiviniemi - Kaukovainio,503
8,Lentoasema - Teknologiakylä,501
52A,Keskusta - Lumijoki,500
14,Välivainio - Lintula,494
5,Kaijonharju - Kivikkokangas,470
10P,Ruskonselkä - Koskela,446
19,Pateniemenranta - Vaskikangas,416
63,Niemenranta - Oulu - OYS - Svaaninsuo,347
18,Kaijonharju - Mäntylä,312
23,Ii - Oulu,295
41,Oulu - Muhos - Oulu,174
40,Oulu - Muhos - Oulu,165
27,Ii - Linnanmaa - Oulu,114
54B,Keskusta - Tyrnävä,112
56Z,Tyrnävä - Zeppelin,108
51N,Kempele - Oulu,70
9B,Keskusta - Lentoasema,55
54,Keskusta - Liminka,53
36,Ylikiiminki - Oulu,52
4N,Keskusta - Heikkilänkangas,48
20N,Keskusta - Martinniemi,45
28,Ii - Linnanmaa - Oulu,39
21A,Kellon Kiviniemi - Kaukovainio,32
2N,Ritaharju - Metsokangas,31
5N,Kaijonharju - Saarela,26
35N,Oulu - Jääli -  Kiiminki,22
26,Oulu - AOL,16
35B,Kiiminki - Oulu,14
56B,Murto - Tyrnävä,13
59,Hailuoto - Oulu,13
52N,Kuvernööri - Liminka,12
53,Keskusta - Lumijoki,8
15N,Keskusta - Nallikari,4
59S,Hailuoto - Oulu,2
